Classifier initialized!

Categories returned: 965

INDEX: 642 | DISPLAY: Charadrius semipalmatus | CATEGORY: /m/01pf9n | SCORE: 0.0
INDEX: 322 | DISPLAY: Nyctidromus albicollis | CATEGORY: /m/03rvdf | SCORE: 0.0
INDEX: 650 | DISPLAY: Melospiza melodia | CATEGORY: /m/01y5dx | SCORE: 0.0
INDEX: 162 | DISPLAY: Diglossa baritula | CATEGORY: /m/02w6ftq | SCORE: 0.0
INDEX: 658 | DISPLAY: Poecile carolinensis | CATEGORY: /m/02fc8k | SCORE: 0.0
INDEX: 330 | DISPLAY: Megascops kennicottii | CATEGORY: /m/01_gm8 | SCORE: 0.0
INDEX: 666 | DISPLAY: Sphyrapicus varius | CATEGORY: /m/01zd22 | SCORE: 0.0
INDEX: 82 | DISPLAY: Phoenicopterus ruber | CATEGORY: /m/09t4xc | SCORE: 0.0
INDEX: 674 | DISPLAY: Amazilia tzacatl | CATEGORY: /m/0bs76_ | SCORE: 0.0
INDEX: 338 | DISPLAY: Columbina passerina | CATEGORY: /m/02wd36 | SCORE: 0.0
INDEX: 682 | DISPLAY: Amazilia rutila | CATEGORY: /m/02vtr17 | SCORE: 0.0
INDEX: 170 | DISPLAY: Piranga rubra | CATEGORY: /m/022snt | SCORE: 0.0
INDEX: 690 | DISPLAY: Setophaga ruticilla | CATEGORY: /m/0269zc | SCORE: 0.0
INDEX: 346 | DISPLAY: Platalea alba | CATEGORY: /m/02cqgq | SCORE: 0.0
INDEX: 698 | DISPLAY: Oreothlypis celata | CATEGORY: /m/029zw6 | SCORE: 0.0
INDEX: 42 | DISPLAY: Tyrannus savana | CATEGORY: /m/0273mr5 | SCORE: 0.0
INDEX: 706 | DISPLAY: Setophaga fusca | CATEGORY: /m/025q6_ | SCORE: 0.0
INDEX: 354 | DISPLAY: Calidris pugnax | CATEGORY: /m/01z4pr | SCORE: 0.0
INDEX: 714 | DISPLAY: Vireo cassinii | CATEGORY: /m/027w9fs | SCORE: 0.0
INDEX: 178 | DISPLAY: Melanerpes uropygialis | CATEGORY: /m/050qvc | SCORE: 0.0
INDEX: 722 | DISPLAY: Aphelocoma coerulescens | CATEGORY: /m/02by4s | SCORE: 0.0
INDEX: 362 | DISPLAY: Corvus corax | CATEGORY: /m/021klp | SCORE: 0.0
INDEX: 730 | DISPLAY: Spinus tristis | CATEGORY: /m/0b46c | SCORE: 0.0
INDEX: 90 | DISPLAY: Vireo huttoni | CATEGORY: /m/027v9st | SCORE: 0.0
INDEX: 738 | DISPLAY: Accipiter cooperii | CATEGORY: /m/01_ryh | SCORE: 0.0
INDEX: 370 | DISPLAY: Scopus umbretta | CATEGORY: /m/01d3tr | SCORE: 0.0
INDEX: 746 | DISPLAY: Dacelo novaeguineae | CATEGORY: /m/01kykh | SCORE: 0.0
INDEX: 186 | DISPLAY: Basileuterus rufifrons | CATEGORY: /m/0bqm_3 | SCORE: 0.0
INDEX: 754 | DISPLAY: Selasphorus sasin | CATEGORY: /m/07db8q | SCORE: 0.0
INDEX: 378 | DISPLAY: Calidris alpina | CATEGORY: /m/01q6zv | SCORE: 0.0
INDEX: 762 | DISPLAY: Falcipennis canadensis | CATEGORY: /m/01wbrs | SCORE: 0.0
INDEX: 10 | DISPLAY: Perisoreus canadensis | CATEGORY: /m/01_h8s | SCORE: 0.0
INDEX: 769 | DISPLAY: Chaetura vauxi | CATEGORY: /m/0cy5d0 | SCORE: 0.0
INDEX: 386 | DISPLAY: Tringa glareola | CATEGORY: /m/01tz5f | SCORE: 0.0
INDEX: 778 | DISPLAY: Sitta europaea | CATEGORY: /m/01d06h | SCORE: 0.0
INDEX: 194 | DISPLAY: Cuculus canorus | CATEGORY: /m/01df85 | SCORE: 0.0
INDEX: 786 | DISPLAY: Calidris alba | CATEGORY: /m/01q4m6 | SCORE: 0.0
INDEX: 394 | DISPLAY: Prosthemadera novaeseelandiae novaeseelandiae | CATEGORY: /g/1224tdj9 | SCORE: 0.0
INDEX: 794 | DISPLAY: Gallinago gallinago | CATEGORY: /m/01tjn2 | SCORE: 0.0
INDEX: 98 | DISPLAY: Serinus mozambicus | CATEGORY: /m/0342fw | SCORE: 0.0
INDEX: 802 | DISPLAY: Melanotis caerulescens | CATEGORY: /m/02w7386 | SCORE: 0.0
INDEX: 402 | DISPLAY: Limosa haemastica | CATEGORY: /m/01v857 | SCORE: 0.0
INDEX: 810 | DISPLAY: Dendrocygna viduata | CATEGORY: /m/029qxn | SCORE: 0.0
INDEX: 202 | DISPLAY: Nucifraga columbiana | CATEGORY: 8520 | SCORE: 0.0
INDEX: 818 | DISPLAY: Icterus galbula | CATEGORY: /m/021_gn | SCORE: 0.0
INDEX: 410 | DISPLAY: Surnia ulula | CATEGORY: /m/01x50v | SCORE: 0.0
INDEX: 826 | DISPLAY: Anas clypeata | CATEGORY: /m/01g_m6 | SCORE: 0.0
INDEX: 50 | DISPLAY: Philesturnus rufusater | CATEGORY: /g/1pxxp08l7 | SCORE: 0.0
INDEX: 834 | DISPLAY: Anser albifrons | CATEGORY: /m/01c713 | SCORE: 0.0
INDEX: 418 | DISPLAY: Jabiru mycteria | CATEGORY: /m/02vdtq | SCORE: 0.0
INDEX: 842 | DISPLAY: Melanitta perspicillata | CATEGORY: /m/01xqk0 | SCORE: 0.0
INDEX: 210 | DISPLAY: Alectura lathami | CATEGORY: /m/071x4t | SCORE: 0.0
INDEX: 850 | DISPLAY: Thalasseus elegans | CATEGORY: /m/022lhj | SCORE: 0.0
INDEX: 426 | DISPLAY: Francolinus pondicerianus | CATEGORY: /m/0bbr8y | SCORE: 0.0
INDEX: 858 | DISPLAY: Cairina moschata | CATEGORY: /m/01_vdd | SCORE: 0.0
INDEX: 106 | DISPLAY: Phalacrocorax pelagicus | CATEGORY: /m/01g46r | SCORE: 0.0
INDEX: 866 | DISPLAY: Asio otus | CATEGORY: /m/01v_4s | SCORE: 0.0
INDEX: 434 | DISPLAY: Charadrius montanus | CATEGORY: /m/04y7z3 | SCORE: 0.0
INDEX: 874 | DISPLAY: Ptiliogonys cinereus | CATEGORY: /m/02w7y5x | SCORE: 0.0
